"Date","Victoria.St.West","Archibald.Park","Beach.Rd","Carlton.Gore.Rd","Curran.St","Dominion.Rd","East.Coast.Rd","Franklin.Rd","GI.TO.TAMAKI.DR.SECTION.1","Grafton.Bridge","Grafton.Gully","Grafton.Rd","Great.South.Rd","Highbrook","Hopetoun.St","Karangahape.Rd","Lagoon.Dr","Lake.Rd","Lake.Rd.New","Leigh.Rd.Shared.Path","Lightpath","Mangere.Bridge","Mangere.Safe.Routes","Nelson.St","NW.Cycleway.Kingsland","NW.Cycleway.TeAtatu","Oceanview.Rd","Orewa.Path","Ormiston.Rd","Quay.St.Spark.Arena","Quay.St.Eco.Display.Classic","Queen.St.Pukekohe","Rankin.Ave","Saint.Lukes.Rd","SH20A.Shared.Path","SW.Shared.Path","Symonds.St","Tamaki.Dr","TeAtatu.Peninsula","TeWero.Bridge.Bike","Twin.Streams","Upper.Harbour","Upper.Queen.St","Waterview.Unitec"
"Friday, 28 June 2019",132,4,276,288,276,310,96,NA,24,575,430,70,89,22,152,444,247,25,375,25,612,301,18,727,1074,591,92,272,43,976,927,8,19,217,20,158,326,1242,164,590,64,101,229,190
"Saturday, 29 June 2019",74,8,102,101,344,170,149,NA,49,290,262,46,67,12,71,296,358,10,369,39,305,585,50,235,597,771,71,473,41,819,663,13,35,123,34,295,153,1285,184,630,135,287,129,310
"Sunday, 30 June 2019",73,36,230,73,359,145,120,NA,36,231,293,28,87,28,60,262,406,13,338,47,332,538,29,258,638,789,75,685,52,777,666,8,15,112,18,201,142,1221,163,619,207,268,98,354
"Monday,  1 July 2019",115,3,279,282,197,398,97,NA,19,587,468,67,82,31,164,466,283,12,333,5,711,272,28,822,1117,598,72,210,44,984,987,9,30,229,28,177,362,1119,178,492,70,61,254,183
"Tuesday,  2 July 2019",125,9,253,302,194,350,88,NA,33,559,395,89,93,35,195,449,340,27,265,0,655,249,23,749,1023,553,76,151,29,828,809,13,25,212,41,178,312,1022,188,415,42,56,221,178
"Wednesday,  3 July 2019",105,7,267,282,208,343,89,NA,40,566,418,68,70,26,179,462,360,22,345,3,696,255,27,771,1084,575,65,171,44,881,812,7,21,209,29,153,326,1011,189,491,63,43,224,165
"Thursday,  4 July 2019",64,0,158,121,70,178,43,NA,5,231,211,78,58,14,107,204,156,5,130,0,354,87,8,397,558,256,46,53,26,417,403,10,13,106,8,51,144,556,99,203,14,13,140,60
"Friday,  5 July 2019",107,13,243,227,197,339,88,NA,18,513,426,81,79,24,150,415,251,16,313,9,612,260,17,711,942,501,74,170,48,822,771,8,22,198,31,156,276,976,157,506,62,55,217,153
"Saturday,  6 July 2019",88,30,165,110,287,154,125,NA,52,264,213,31,78,27,57,259,315,13,275,22,318,539,46,270,511,680,103,398,57,684,592,18,24,117,18,227,170,1068,134,706,141,299,103,243
"Sunday,  7 July 2019",84,26,173,91,307,144,107,NA,62,198,290,23,61,20,64,244,325,14,328,43,269,443,21,229,526,840,82,655,36,828,680,19,45,147,44,245,127,1257,144,560,178,274,71,341
"Monday,  8 July 2019",93,5,268,286,173,339,72,NA,29,579,408,82,69,37,177,426,280,11,221,22,690,207,35,825,1102,520,80,238,29,900,868,5,37,204,29,161,350,1029,148,421,89,55,199,184
"Tuesday,  9 July 2019",143,31,301,328,210,369,94,NA,44,619,444,103,54,33,169,526,289,11,296,12,712,239,34,817,1121,608,91,237,30,875,795,6,31,232,34,204,329,1159,180,496,76,83,234,203
"Wednesday, 10 July 2019",110,12,286,268,238,351,96,NA,29,590,446,66,87,35,176,495,374,19,269,7,744,255,49,819,1091,604,97,351,53,975,951,4,32,193,31,179,308,1152,173,573,113,114,222,210
"Thursday, 11 July 2019",154,12,281,278,226,331,86,NA,24,603,435,79,72,33,172,496,259,15,209,14,685,253,21,777,1022,564,107,358,37,970,940,7,31,208,37,175,318,1142,159,578,115,76,243,174
"Friday, 12 July 2019",66,3,196,158,156,200,51,NA,12,320,241,74,74,25,115,294,188,7,160,0,388,128,11,438,580,252,56,79,23,499,428,8,15,125,25,59,199,612,71,276,24,46,172,92
"Saturday, 13 July 2019",107,21,199,108,365,165,132,NA,60,237,300,31,66,34,62,243,369,17,320,66,374,598,47,284,589,771,159,514,54,831,680,13,30,94,29,248,157,1233,143,728,243,367,142,278
"Sunday, 14 July 2019",23,9,78,41,128,51,47,NA,10,110,94,38,51,11,33,135,138,1,191,8,93,179,4,75,171,252,45,146,15,244,144,4,8,56,11,51,57,414,23,159,40,140,75,60
