"Date","Archibald.Park","Beach.Rd","Carlton.Gore.Rd","Curran.St","Dominion.Rd","East.Coast.Rd","Franklin.Rd","GI.TO.TAMAKI.DR.SECTION.1","Grafton.Bridge","Grafton.Gully","Grafton.Rd","Great.South.Rd","Highbrook","Hopetoun.St","Karangahape.Rd","Lagoon.Dr","Lake.Rd","Lake.Rd.New","Leigh.Rd.Shared.Path","Lightpath","Mangere.Bridge","Mangere.Safe.Routes","Nelson.St","NW.Cycleway.Kingsland","NW.Cycleway.TeAtatu","Oceanview.Rd","Orewa.Path","Ormiston.Rd","Quay.St.Spark.Arena","Quay.St.Eco.Display.Classic","Queen.St.Pukekohe","Rankin.Ave","Saint.Lukes.Rd","SH20A.Shared.Path","SW.Shared.Path","Symonds.St","Tamaki.Dr","TeAtatu.Peninsula","TeWero.Bridge.Bike","Twin.Streams","Upper.Harbour","Upper.Queen.St","Waterview.Unitec","Westhaven.Dr","Victoria.St.West"
"Mon 13 Jul 2020",4,285,337,226,398,105,184,39,661,436,131,70,27,165,224,321,14,259,16,606,298,49,723,1114,610,61,302,43,839,1148,15,35,222,20,190,302,NA,101,508,132,74,277,362,NA,NA
"Tue 14 Jul 2020",14,341,341,217,393,118,223,28,677,459,111,89,31,149,240,346,1,287,23,584,234,12,695,1099,582,79,241,23,849,1263,14,33,213,26,177,277,NA,77,446,85,95,257,307,NA,NA
"Wed 15 Jul 2020",1,224,298,160,271,66,156,36,534,315,132,59,8,145,207,262,3,187,7,428,164,15,499,781,383,77,95,31,620,706,9,27,181,22,78,221,NA,61,311,49,59,193,182,NA,NA
"Thu 16 Jul 2020",10,141,202,84,186,34,129,8,397,209,92,43,21,129,171,210,0,86,8,299,122,13,430,554,212,45,28,34,334,432,3,16,119,16,52,178,NA,31,208,26,12,165,139,NA,NA
"Fri 17 Jul 2020",12,244,264,173,299,71,151,26,516,344,111,58,26,122,217,300,9,277,24,440,242,32,538,798,482,88,122,28,617,682,11,23,160,18,159,215,NA,73,369,63,47,212,344,NA,NA
"Sat 18 Jul 2020",16,131,106,223,139,90,75,31,250,213,83,75,14,67,157,263,23,278,24,234,405,46,230,453,519,81,246,31,510,500,15,23,119,45,232,137,NA,69,431,128,165,112,324,NA,NA
"Sun 19 Jul 2020",32,207,130,367,158,120,91,70,350,308,62,83,28,55,188,356,6,364,17,227,565,19,218,657,920,106,457,51,676,622,20,23,186,27,281,137,NA,95,574,200,300,109,551,NA,NA
"Mon 20 Jul 2020",11,382,356,205,429,119,192,27,764,486,148,75,43,170,275,289,18,445,9,666,334,11,791,1300,676,116,261,50,917,993,5,22,248,21,176,333,NA,110,411,58,70,300,388,NA,NA
"Tue 21 Jul 2020",4,319,401,198,398,121,187,31,694,476,170,64,28,182,249,304,9,426,18,595,223,23,721,1155,545,92,232,47,874,956,10,27,254,18,103,320,NA,102,421,45,87,267,302,NA,NA
"Wed 22 Jul 2020",0,199,251,106,267,60,146,16,482,290,135,47,16,124,166,208,16,268,6,458,140,17,543,717,281,62,89,48,478,582,9,14,144,10,69,220,NA,55,228,17,27,160,146,NA,NA
"Thu 23 Jul 2020",1,267,341,184,345,112,186,18,655,401,134,71,20,154,233,275,19,325,20,495,210,21,609,985,460,117,214,56,717,817,12,32,226,27,161,279,NA,77,396,61,55,249,284,NA,NA
"Fri 24 Jul 2020",7,253,301,163,297,106,168,44,604,380,164,54,25,154,201,249,21,437,9,473,216,18,569,975,473,108,198,66,638,829,8,21,227,20,99,256,NA,82,413,41,57,211,267,NA,NA
"Sat 25 Jul 2020",23,176,130,312,182,128,87,49,372,298,94,70,25,60,127,268,14,482,74,230,594,23,222,625,824,143,391,64,678,626,16,17,185,41,273,190,NA,92,510,188,301,83,441,NA,NA
"Sun 26 Jul 2020",17,188,109,343,132,130,65,70,289,245,88,87,23,49,127,318,20,366,30,211,487,19,226,533,862,99,486,74,659,614,4,24,168,33,228,160,NA,84,544,168,339,76,446,NA,NA
"Mon 27 Jul 2020",6,375,370,228,483,104,243,36,861,573,187,84,41,202,255,297,16,464,19,647,303,27,783,1350,726,102,293,53,960,1089,11,42,286,22,188,388,NA,133,476,84,82,290,369,NA,NA
"Tue 28 Jul 2020",11,384,461,251,486,118,211,41,953,604,186,72,40,201,288,397,24,495,29,700,360,34,810,1417,775,115,272,45,1019,1228,20,29,283,36,237,377,NA,127,493,83,133,331,409,NA,NA
"Wed 29 Jul 2020",18,357,436,278,464,122,222,49,943,533,212,66,41,188,257,427,13,580,13,685,357,31,816,1433,810,134,242,40,966,1136,12,27,266,44,209,398,NA,110,507,78,119,288,390,NA,NA
"Thu 30 Jul 2020",7,380,466,249,458,124,239,41,861,552,213,84,36,190,298,336,14,489,21,612,294,17,770,1341,691,108,228,53,914,1076,5,22,277,25,183,367,NA,116,535,62,77,299,408,NA,NA
"Fri 31 Jul 2020",5,307,346,207,361,92,197,70,744,451,205,78,25,174,221,307,16,479,7,483,295,19,616,1056,527,94,206,46,771,947,18,32,212,29,157,340,NA,86,401,56,67,258,334,NA,NA
"Wed  1 Jan 2020",46,178,50,187,86,73,58,30,199,193,10,47,7,26,144,207,15,257,68,278,258,15,205,441,623,219,460,24,599,1004,17,21,91,26,161,100,880,126,508,228,203,72,177,NA,86
"Thu  2 Jan 2020",28,189,71,240,116,120,76,49,330,259,25,38,13,38,159,228,16,320,73,309,377,45,271,474,640,214,586,39,703,1137,22,26,109,36,158,135,1057,124,632,264,237,79,246,NA,104
"Fri  3 Jan 2020",18,188,82,163,149,89,83,36,345,206,28,71,26,49,166,277,14,277,76,302,236,23,288,472,540,235,387,61,587,874,9,21,94,39,141,166,821,133,510,203,152,114,196,NA,66
"Sat  4 Jan 2020",18,148,71,137,117,106,108,35,258,237,31,49,5,41,139,162,16,274,123,215,233,29,206,430,475,249,385,37,492,711,12,25,84,20,101,111,705,61,449,295,169,66,173,NA,112
"Sun  5 Jan 2020",25,226,121,242,149,121,64,57,256,328,34,66,13,46,185,242,10,322,91,285,406,28,227,621,854,145,508,37,748,1326,13,23,112,40,217,140,1132,185,602,169,329,87,276,NA,79
"Mon  6 Jan 2020",24,223,246,122,295,82,148,48,658,350,72,54,25,134,278,167,13,196,58,494,137,23,578,935,526,153,251,64,662,1170,10,43,175,21,116,258,792,145,414,155,73,221,180,NA,151
"Tue  7 Jan 2020",20,367,285,222,363,143,164,42,661,452,74,71,27,148,338,291,21,298,50,634,249,26,750,1148,726,213,316,45,902,1392,14,33,224,24,207,293,1017,201,570,132,138,236,237,NA,152
"Wed  8 Jan 2020",30,403,315,231,398,109,199,61,670,498,80,93,51,168,406,310,16,374,90,667,316,33,775,1220,878,207,413,61,1095,1168,19,26,244,52,224,291,1348,204,620,226,222,263,321,NA,172
"Thu  9 Jan 2020",43,415,363,305,443,143,198,41,675,531,89,81,40,171,408,303,15,418,57,750,334,18,879,1396,849,191,442,81,1199,1370,16,42,253,34,247,364,1514,212,729,183,164,295,297,NA,187
"Fri 10 Jan 2020",39,230,231,305,357,117,176,23,561,456,75,72,34,143,361,232,12,342,54,623,291,32,753,1166,679,211,432,70,1036,1155,8,26,258,58,207,293,1270,187,646,175,124,262,257,NA,171
"Sat 11 Jan 2020",30,225,96,306,205,120,111,57,325,311,34,74,50,58,252,352,18,421,77,377,611,62,328,704,963,270,528,55,966,900,13,38,177,49,207,173,1448,209,702,229,337,124,278,NA,83
